YEAR	CROPCODE	CROP_DESC	TOELICHTING	MON_LC	MON_LC_DESC	MON_CG	MON_CG_DESC	MON_OC	MON_OC_DESC	MON_VRU	MON_VRU_DESC	MON_RUG	MON_RUG_DESC	MON_MIDDENDETA	MON_MIDDENDETA_DESC	MON_OCNT	MON_OCNT_DESC	MON_VROEG_LAAT	MON_VROEG_LAAT_DESC	IS_VROEG	IS_LAAT	IS_PERM_TEELT	IS_PERM_BEDEKKING	IS_BOUWLAND	IS_SUBSIDIABEL	IS_NIETSUBSIDIABEL
2025	9552	Tomaten - vers	GROENTEN_VERS	MON_LC_BOUWLAND	MARKER_LANDCOVER bouwland	MON_CG_TOMATEN	Marker cropgroup tomaten	MON_OC_300	Monitoring organische koolstof aanvoer - 300	MON_VRU_NACHTSCHADE	Monitoring vruchtafwisseling - nachtschade	MON_RUG_NEE	Ruggenteelt - nee	LC_MD_GROEN_KRU_SIE	Groenten, kruiden en sierplanten	MON_OCNT_300	Monitoring organische koolstof aanvoer nateelt - 300	MON_TEELTEN_LATE	monitoring late teelten	0	1	0	0	1	1	0
2025	9553	Paprika - vers	GROENTEN_VERS	MON_LC_BOUWLAND	MARKER_LANDCOVER bouwland	MON_CG_PAPRIKAS	Marker cropgroup paprikas	MON_OC_300	Monitoring organische koolstof aanvoer - 300	MON_VRU_NACHTSCHADE	Monitoring vruchtafwisseling - nachtschade	MON_RUG_NEE	Ruggenteelt - nee	LC_MD_GROEN_KRU_SIE	Groenten, kruiden en sierplanten	MON_OCNT_300	Monitoring organische koolstof aanvoer nateelt - 300	MON_TEELTEN_LATE	monitoring late teelten	0	1	0	0	1	1	0
2025	9554	Komkommers - vers	GROENTEN_VERS	MON_LC_BOUWLAND	MARKER_LANDCOVER bouwland	MON_CG_KOMKOMMERS	Marker cropgroup komkommers	MON_OC_300	Monitoring organische koolstof aanvoer - 300	MON_VRU_KOMKOMMER	Monitoring vruchtafwisseling - komkommer	MON_RUG_NEE	Ruggenteelt - nee	LC_MD_GROEN_KRU_SIE	Groenten, kruiden en sierplanten	MON_OCNT_300	Monitoring organische koolstof aanvoer nateelt - 300	MON_TEELTEN_LATE	monitoring late teelten	0	1	0	0	1	1	0
2025	9555	Aubergines - vers	GROENTEN_VERS	MON_LC_BOUWLAND	MARKER_LANDCOVER bouwland	MON_CG_AUBERGINES	Marker cropgroup aubergines	MON_OC_300	Monitoring organische koolstof aanvoer - 300	MON_VRU_NACHTSCHADE	Monitoring vruchtafwisseling - nachtschade	MON_RUG_NEE	Ruggenteelt - nee	LC_MD_GROEN_KRU_SIE	Groenten, kruiden en sierplanten	MON_OCNT_300	Monitoring organische koolstof aanvoer nateelt - 300	MON_TEELTEN_LATE	monitoring late teelten	0	1	0	0	1	1	0
2025	9556	Pompoenen - vers	GROENTEN_VERS	MON_LC_BOUWLAND	MARKER_LANDCOVER bouwland	MON_CG_COURGETTES_EN_POMPOENEN	Marker cropgroup courgettes_en_pompoenen	MON_OC_470	Monitoring organische koolstof aanvoer - 470	MON_VRU_KOMKOMMER	Monitoring vruchtafwisseling - komkommer	MON_RUG_NEE	Ruggenteelt - nee	LC_MD_GROEN_KRU_SIE	Groenten, kruiden en sierplanten	MON_OCNT_470	Monitoring organische koolstof aanvoer nateelt - 470	MON_TEELTEN_LATE	monitoring late teelten	0	1	0	0	1	1	0
2025	9557	Andere alternatieve slasoorten - vers	GROENTEN_VERS	MON_LC_BOUWLAND	MARKER_LANDCOVER bouwland	MON_CG_ANDERE_SUBSIDIABELE_GEWASSEN_GROENTEN	Marker cropgroup andere_subsidiabele_gewassen_groenten	MON_OC_190	Monitoring organische koolstof aanvoer - 190	MON_VRU_ANDERE_SUBSIDIABEL	Monitoring vruchtafwisseling - andere subsidiabel	MON_RUG_NEE	Ruggenteelt - nee	LC_MD_GROEN_KRU_SIE	Groenten, kruiden en sierplanten	MON_OCNT_190	Monitoring organische koolstof aanvoer nateelt - 190	MON_TEELTEN_LATE	monitoring late teelten	0	1	0	0	1	1	0
2025	9560	Boomkweek - bos- en haagplanten	ZAAD-_EN_PLANTGOED	MON_LC_BOOMSIER	MARKER_LANDCOVER boomsier	MON_CG_BOOMSIER	Marker cropgroup boomsier	MON_OC_0	Monitoring organische koolstof aanvoer - 0	MON_VRU_BOOMSIER	Monitoring vruchtafwisseling - boomsier	MON_RUG_NEE	Ruggenteelt - nee	LC_MD_HOUTACHTIG	Houtachtige gewassen	MON_OCNT_0	Monitoring organische koolstof aanvoer nateelt - 0	MON_TEELTEN_LATE	monitoring late teelten	0	1	1	0	0	1	0
2025	9561	Witloofwortel	GROENTEN_VERS	MON_LC_BOUWLAND	MARKER_LANDCOVER bouwland	MON_CG_CICHOREIACHTIGEN	Marker cropgroup cichoreiachtigen	MON_OC_270	Monitoring organische koolstof aanvoer - 270	MON_VRU_SAMENGESTELDBLOEMIGEN	Monitoring vruchtafwisseling - samengesteld bloemigen	MON_RUG_JA	Ruggenteelt - ja	LC_MD_GROEN_KRU_SIE	Groenten, kruiden en sierplanten	MON_OCNT_270	Monitoring organische koolstof aanvoer nateelt - 270	MON_TEELTEN_LATE	monitoring late teelten	0	1	0	0	1	1	0
2025	9563	Ajuinen (vroege) - vers	GROENTEN_VERS	MON_LC_BOUWLAND	MARKER_LANDCOVER bouwland	MON_CG_LOOKACHTIGEN	Marker cropgroup lookachtigen	MON_OC_250	Monitoring organische koolstof aanvoer - 250	MON_VRU_UIEN	Monitoring vruchtafwisseling - uien	MON_RUG_NEE	Ruggenteelt - nee	LC_MD_GROEN_KRU_SIE	Groenten, kruiden en sierplanten	MON_OCNT_250	Monitoring organische koolstof aanvoer nateelt - 250	MON_TEELTEN_VROEGE	monitoring vroege teelten	1	0	0	0	1	1	0
2025	9564	Wortel (vroege) (consumptie) - vers	GROENTEN_VERS	MON_LC_BOUWLAND	MARKER_LANDCOVER bouwland	MON_CG_WORTEL	Marker cropgroup wortel	MON_OC_370	Monitoring organische koolstof aanvoer - 370	MON_VRU_SCHERMBLOEMIGEN	Monitoring vruchtafwisseling - schermbloemigen	MON_RUG_JA	Ruggenteelt - ja	LC_MD_GROEN_KRU_SIE	Groenten, kruiden en sierplanten	MON_OCNT_370	Monitoring organische koolstof aanvoer nateelt - 370	MON_TEELTEN_VROEGE	monitoring vroege teelten	1	0	0	0	1	1	0
