YEAR	CROPCODE	CROP_DESC	MON_CG	MON_CG_DESC	MON_LC	MON_LC_DESC	LC_MIDDENDETA	LC_MIDDENDETA_DESC	MON_VROEG_LAAT	IS_VROEG	IS_PERM_TEELT	IS_PERM_BEDEKKING	IS_BOUWLAND	IS_SUBSIDIABEL	IS_NIETSUBSIDIABEL
2023	94	Snijbonen - vers	MON_BONEN	Bonen	MON_TYPE_VLINDERBLOEMIGEN	vlinderbloemigen	LC_MD_GROEN_KRU_SIE	Groenten, kruiden en sierplanten	MON_TEELTEN_VROEGE	1	0	0	1	1	0
2023	96	Niet-eetbare tuinbouwgewassen	MON_ANDERE_SUBSIDIABELE_GEWASSEN_AKKERBOUW	Andere subsidiabele gewassen akkerbouw - gebruik: perceelsmonitoring	MON_TYPE_BOUWLAND	bouwland	LC_MD_OVERIGE	Overige gewassen	MON_TEELTEN_LATE	0	0	0	1	1	0
2023	98	Faunamengsel	MON_MENGSEL_BRAAK	Mengsel braak	MON_TYPE_BRAAK	braak	LC_MD_GRA_ZA_PEUL	Granen, zaden en peulvruchten	MON_TEELTEN_LATE	0	0	0	1	1	0
2023	99	Teelt niet vast te stellen	MON_ONBEKEND_MET_KLASSIFICATIE	Moeilijk met klassificatie	MON_TYPE_ONBEKEND_MET_KLASSIFICATIE	onbekend met klassificatie	LC_MD_OVERIGE	Overige gewassen	MON_TEELTEN_VROEGE	1	0	0	0	0	0
2023	100	Niet ingezaaid akkerland	MON_BOUWLAND_ONBEKEND	Bouwland, maar onbekend welk	MON_TYPE_BOUWLAND	bouwland	LC_MD_OVERIGE	Overige gewassen	MON_TEELTEN_VROEGE	1	0	0	1	1	0
2023	201	Silomaïs	MON_MAIS	Maïs	MON_TYPE_BOUWLAND	bouwland	LC_MD_MAIS	Maïs	MON_TEELTEN_LATE	0	0	0	1	1	0
2023	202	Korrelmaïs	MON_MAIS	Maïs	MON_TYPE_BOUWLAND	bouwland	LC_MD_MAIS	Maïs	MON_TEELTEN_LATE	0	0	0	1	1	0
2023	311	Wintertarwe	MON_TARWE_WINTER	Wintertarwe	MON_TYPE_BOUWLAND	bouwland	LC_MD_GRA_ZA_PEUL	Granen, zaden en peulvruchten	MON_TEELTEN_VROEGE	1	0	0	1	1	0
2023	312	Zomertarwe	MON_TARWE	Tarwe	MON_TYPE_BOUWLAND	bouwland	LC_MD_GRA_ZA_PEUL	Granen, zaden en peulvruchten	MON_TEELTEN_VROEGE	1	0	0	1	1	0
2023	321	Wintergerst	MON_GERST_WINTER	Wintergerst	MON_TYPE_BOUWLAND	bouwland	LC_MD_GRA_ZA_PEUL	Granen, zaden en peulvruchten	MON_TEELTEN_VROEGE	1	0	0	1	1	0
2023	322	Zomergerst	MON_GERST	Gerst	MON_TYPE_BOUWLAND	bouwland	LC_MD_GRA_ZA_PEUL	Granen, zaden en peulvruchten	MON_TEELTEN_VROEGE	1	0	0	1	1	0
2023	323	Brouwgerst	MON_GERST	Gerst	MON_TYPE_BOUWLAND	bouwland	LC_MD_GRA_ZA_PEUL	Granen, zaden en peulvruchten	MON_TEELTEN_VROEGE	1	0	0	1	1	0
2023	331	Winterrogge	MON_ROGGE_WINTER	Winterrogge	MON_TYPE_BOUWLAND	bouwland	LC_MD_GRA_ZA_PEUL	Granen, zaden en peulvruchten	MON_TEELTEN_VROEGE	1	0	0	1	1	0
